title	link	snippet	date
Rescue efforts continue as Afghanistan earthquake death toll ...	https://www.youtube.com/watch?v=neI3ZCEn6_Y	"Oct 9, 2023 ... 아프가니스탄 강진 사상자 4500명 넘어 ""구조에 지원 절실"" Rescue workers have been ramping up search efforts to pull bodies and survivors from the rubble ..."	Oct 9, 2023
Horrific Earthquake in Afghanistan | Many People Died | Breaking ...	https://www.youtube.com/watch?v=vnJmnQTgfnE	Oct 7, 2023 ... Horrific Earthquake in Afghanistan | Many People Died | Breaking News #Earthquake #Afghanistan #BreakingNews AFGHANISTAN | Earthquake | Earthquake in ...	Oct 7, 2023
Death toll from strong earthquakes that shook western Afghanistan ...	https://www.youtube.com/watch?v=GNr3atodxv0	Oct 7, 2023 ... Saturday's earthquakes were some of the deadliest to strike Afghanistan in decades.	Oct 7, 2023
Death Toll From Afghanistan Earthquakes Tops 2,400 | TaiwanPlus ...	https://www.youtube.com/watch?v=cU3F7RRrbAU	Oct 9, 2023 ... The death toll from Sunday's earthquakes in Afghanistan has now topped 2400. It is expected to rise as rescue workers respond.	Oct 9, 2023
Afghanistan Earthquake Leaves More Than 2000 Dead | 10 News First	https://www.youtube.com/watch?v=686KVwd6MDY	Oct 9, 2023 ... The death toll has sky-rocketed in Afghanistan from a devastating earthquake in the country's west. Over 2000 people are now confirmed dead as the search ...	Oct 9, 2023
Afghanistan Earthquake Video | Death Toll Crosses 2,000 | UN ...	https://www.youtube.com/watch?v=VIVBlFRM6nU	Oct 9, 2023 ... Afghanistan Earthquake Video: On October 7, a powerful earthquake with a magnitude of 6.3 struck western Afghanistan. Strong aftershocks were felt in the ...	Oct 9, 2023
ARY News 3 PM Headlines 8th October 2023 | Afghanistan ...	https://www.youtube.com/watch?v=Ck-vydno5DY	Oct 8, 2023 ... afganistan #earthquakes #headlines -Afghanistan earthquake death toll rises to 2000 -Pakistan calls for immediate end to violence by Israeli occupation ...	Oct 8, 2023
BREAKING NEWS Earthquake in Afghanistan | Afghanistan ...	https://www.youtube.com/watch?v=J0LsSAiFlx8	7 days ago ... BREAKING NEWS Earthquake in Afghanistan | Afghanistan Situation | Earthquake Update | KTN NEWS #Earthquake #Afghanistan #EarthquakeUpdate #BreakingNews ...	Oct 15, 2023
Afghanistan Earthquake: Rescue efforts wind down in Afghanistan ...	https://www.youtube.com/watch?v=IZjuZW4BIM8	Oct 10, 2023 ... Afghanistan Earthquake: Rescue efforts wind down in Afghanistan, death toll climbs | Oneindia. 1.2K views · 10 days ago #Afghanistan #HeratEarthquake ...more ...	Oct 10, 2023
CASUALTIES IN AFGHANISTAN EARTHQUAKE TOPS 4,000 ...	https://www.youtube.com/watch?v=1nfbmiL1TE0	Oct 13, 2023 ... CASUALTIES IN AFGHANISTAN EARTHQUAKE TOPS 4000. ... Israel-Palestine War: Killing hostages won't make things better, Israel warns Hamas | WION.	Oct 13, 2023
GLOBALink | Death toll of earthquakes in Afghanistan rises to 2,445 ...	https://www.youtube.com/watch?v=EJ40GqUiJbg	Oct 9, 2023 ... The death toll from earthquakes in western Afghanistan's Herat and neighboring provinces has risen to 2445 as of Sunday night. #GLOBALink.	Oct 9, 2023
അഫ്ഗാനിസ്ഥാനിൽ വൻ ഭൂചലനം ...	https://www.youtube.com/watch?v=poZYYWnHfuk	Oct 7, 2023 ... അഫ്ഗാനിസ്ഥാനിൽ വൻ ഭൂചലനം ; കൊല്ലപ്പെട്ടവരുടെ എണ്ണം ആയിരം കടന്നു Afghanistan earthquakes death toll crosses 2000; six villages destroyed ...	Oct 7, 2023
Afghan quake toll rises to over 2,000 - YouTube	https://www.youtube.com/watch?v=YBmFoib2hNQ	Oct 9, 2023 ... HERAT (AFP) – The death toll from a series of earthquakes in western Afghanistan rose sharply again yesterday to more than 2000 as rescuers scrabbled for ...	Oct 9, 2023
Afghanistan Earthquake 2023: Afghanistan earthquakes kill 2,053 ...	https://www.youtube.com/watch?v=Vhpgl_i1YSM	Oct 8, 2023 ... Afghanistan Earthquake 2023: Afghanistan earthquakes kill 2053| चारों ओर तबाही का मंज़र। WORLD NEWS #afghanistan #earthquake #HeratEarthquake #deathtoll ...	Oct 8, 2023
Earthquake of Magnitude 6.5 Hits Northern Afghanistan, Killing at ...	https://www.youtube.com/watch?v=Oexp8jh3BkU	Oct 10, 2023 ... A magnitude 6.5 earthquake struck northern Afghanistan on Tuesday evening, according to the European-Mediterranean Seismological Centre, killing two in the ...	Oct 10, 2023
Afghanistan earthquakes death toll crosses 2,000; six villages ...	https://www.youtube.com/watch?v=URJnXcub-oQ	Oct 8, 2023 ... Afghanistan #earthquake #death #nandighoshatv Nandighosha TV is the fastest growing television channel in Odisha and delivers reliable information across ...	Oct 8, 2023
Four strong earthquakes hit Afghanistan within One hour || News ...	https://www.youtube.com/watch?v=WRN6bQJyu6c	Oct 7, 2023 ... Kalinga TV is the fastest growing television channel in Odisha. Kalinga TV, being one of the most trusted channels in the state is always on attempt to ...	Oct 7, 2023
Earthquake News | Magnitude 6.3 Earthquake Strikes Afghanistan ...	https://www.youtube.com/watch?v=5R3ZBbcZZvU	7 days ago ... Afghanistan Earthquake |Magnitude 6.3 Earthquake Strikes Afghanistan | Earthquake News | Odia News A new earthquake has hit western Afghanistan - several ...	Oct 15, 2023
Earthquake News | Magnitude 6.3 Earthquake Strikes Afghanistan ...	https://www.youtube.com/watch?v=5R3ZBbcZZvU	7 days ago ... Afghanistan Earthquake |Magnitude 6.3 Earthquake Strikes Afghanistan | Earthquake News | Odia News A new earthquake has hit western Afghanistan - several ...	Oct 15, 2023
Afghans Scramble To Find Survivors Of Devastating Earthquake ...	https://www.youtube.com/watch?v=TZYIbK1SjCU	Oct 9, 2023 ... Volunteers are frantically searching for survivors in Afghanistan's Herat Province after hundreds of homes were reduced to rubble in an October 7 earthquake ...	Oct 9, 2023
Fast and Factual LIVE: Earthquake of Magnitude 6.5 Hits ...	https://www.youtube.com/watch?v=A-QGlQ9d8Q0	6 days ago ... Fast and Factual LIVE: Earthquake of Magnitude 6.5 Hits Afghanistan, Third in a Week An ... death toll of French citizens from the Hamas attack in Israel has ...	Oct 16, 2023
Death toll rises to 120 after M6.3 earthquake hits Afghanistan ...	https://www.youtube.com/watch?v=Xu64zBJWpgY	Oct 8, 2023 ... ... death toll from a magnitude-6.3 earthquake in western Afghanistan has risen to about 120. It also said more than 1000 others have been injured. The quake ...	Oct 8, 2023
Afghans bury family, neighbours after devastating earthquake hits ...	https://www.youtube.com/watch?v=jc50YPcjSeM	Oct 10, 2023 ... SouthAsiaNews #SouthAsiaNewsline #Afghanistan #earthquake #Taliban The funeral ... Death toll rises as Israel-Hamas war intensifies. CBS News New 385K views · 13: ...	Oct 10, 2023
Afghanistan hit by 2nd devastating Quake in less than 5 days ...	https://www.youtube.com/watch?v=cTtpSN1QnHA	Oct 11, 2023 ... Afghanistan hit by 2nd devastating Quake in less than 5 days || ENGLISH || GOA365. 442 views · 2 days ago ...more. Goa 365 TV. 211K. Subscribe.	Oct 11, 2023
[LIVE] NEWS CENTER (2023-10-10) - YouTube	https://www.youtube.com/watch?v=aK-5z4cD76Q	Oct 10, 2023 ... Escalating conflict: Over 1600 deaths in Hamas attacks, Israeli retaliation ... Afghanistan earthquake death toll approaches 3000 ▫ S. Korea, U.S., Japan ...	Oct 10, 2023
News Afghanistan में Earthquake की शिद्दत 6 3, अब तक 2 हज़ार लोगों ...	https://www.youtube.com/watch?v=aCa8RDJOSLc	Oct 8, 2023 ... News: An earthquake of 6.3 magnitude occurred in Afghanistan on Saturday afternoon. In which 2 thousand people have died so far. See full report.	Oct 8, 2023
earthquake afghanistan today, afghanistan earthquake 2023 video ...	https://www.youtube.com/watch?v=_ICFuvNS5aE	5 days ago ... natural disaster, afghanistan earthquake death toll, earthquake afghanistan, herat province, earthquake afghanistan footage, earthquake afghanistan 2023, ...	Oct 17, 2023
Over 2,000 dead in Afghanistan earthquake, houses flattened ...	https://www.youtube.com/watch?v=sJcNHRl8E9g	Oct 9, 2023 ... Over 2000 dead in Afghanistan earthquake, houses flattened, Taliban seek help | Odia News | Shorts The death toll from Saturday's powerful 6.3 magnitude ...	Oct 9, 2023
